Date,Time,Loc,"Left Leg
 Top/Bottom","Right Leg
 Top/Bottom",RFID No.,Band No.,"If recap, year caught","Tarsus
 (mm)","Skull
 (mm)",Wing (mm),Body mass (g),Forehead Black Width (mm),Species,Notes,Submitted to BBL portal (yes/no)
9/16/2023,10:30,SC,Blue/Alum,RFID Yellow,3B0048925C,1570-79187,,20.4,27.5,69,11.23,,BCCH,,
9/16/2023,10:45,SC,RFID Grey,Black/Alum,01103F7C5D,1570-79180,,14.4,26.9,63,10.66,,BCCH,,
9/17/2023,9:30,SC,Green/Alum,RFID Purple,3B001925F2,1570-79182,,16.9,27.6,70,12.38,,BCCH,,
10/17/2023,8:45,SC,Red/Alum,RFID Black,3B0018CDD9,1570-79181,,17.7,26.3,65,10.85,,BCCH,,
10/17/2023,9:00,SC,RFID Yellow,Black/Alum,3B004929CE,1570-79250,,16.4,27.5,69,11.49,,BCCH,,
10/17/2023,9:00,SC,Green/Alum,RFID Purple,recap,1570-79182,2023,17,27.9,70,12.38,,BCCH,,
10/22/2023,9:45,UM,RFID Blue,Yellow/Alum,3B00184B08,2940-51612,,17.6,27.5,66,10.59,,BCCH,,
10/22/2023,10:00,UM,RFID Green,Black/Alum,3B0018310A,2940-51613,,17.7,28.3,67,12.15,,BCCH,,
10/24/2023,10:00,SC,Green/Alum,RFID Green,3B0018B626,2940-51614,,14.3,26.9,61,9.97,,BCCH,,
10/26/2023,n/a,PP,Red/Alum,RFID Black,recap,1570-79181,2023,15.4,26.5,65,11.1,,BCCH,,
10/26/2023,n/a,Pines,RFID White,Black/Alum,3B0049A4B2,1570-79203,,14.9,27.6,64,11.92,,BCCH,,
10/26/2023,n/a,Pines,Red/Alum,RFID Purple,3B001898DD,1570-79249,,15.4,26.2,63,10.42,,BCCH,,
11/7/2023,n/a,SC,Yellow/Alum,RFID Purple,3B00182AA7,2940-51615,,16,25.5,65,11.92,,BCCH,,
11/7/2023,n/a,SC,Green/Alum,RFID Grey,01103F5B17,2940-51616,,16.7,27.8,62,10.14,,BCCH,,
11/11/2023,9:30,SC,Green/Alum,RFID Grey,recap,2940-51616,2023,16.8,25.9,62,10.25,,BCCH,,
11/30/2023,10:40,FP,RFID Yellow,Yellow/Alum,3B0018C779,2940-51617,,17.6,27.5,68,11.68,,BCCH,,
11/30/2023,10:40,FP,Yellow/Alum,RFID Black,3B0018AF3D,2940-51619,,17.5,25.5,60,11.12,,BCCH,,
12/2/2023,10:15,SC,White/Alum,N/A,recap,1570-79166,2021,17.1,27,68,11.04,,BCCH,STUMPY!!!!!!! alive and thriving,
12/2/2023,10:19,SC,RFID Grey,Blue/Alum,01103F8B01,2940-51618,,16.8,27.7,66,12.07,,BCCH,"Band combo originally Blue/Alum (left) and RFID grey (right), but were put on the wrong way around",
12/2/2023,10:19,SC,RFID Grey,Green/Alum,01103FC30B,2940-51698,,16.9,25.6,64,10.44,,BCCH,,
12/2/2023,10:19,SC ,RFID Black,Red/Alum,3B0018AEAB,2940-51697,,17.7,26.9,64,10.72,,BCCH,,
12/2/2023,10:19,PP,Red/Alum,RFID Blue,3B00181623,2940-51620,,16.1,26.2,63,10.27,,BCCH,,
12/2/2023,11:15,SC,RFID Yellow,Green/Alum,3B00191D5F,2940-51622,,17,27.6,68,12.07,,BCCH,,
12/4/2023,15:05,MS,Yellow/Alum,RFID Black,recap,2940-51619,2023,n/a,n/a,n/a,n/a,,BCCH,,
12/4/2023,15:05,MS,RFID Yellow,Yellow/Alum,recap,2940-51917,2023,n/a,n/a,n/a,n/a,,BCCH,,
12/5/2023,11:00,Pines,RFID Yellow,Red/Alum,3B001914FC,2940-51623,,18,27.1,60,10.17,,BCCH,,
